sku,image_url,error
BED-76797-NEYMORTON-BEDROOM-MIRROR,https://www.alrugaibfurniture.com/cdn/shop/files/neymorton-bedroom-mirror-8801415_1800x1800.jpg?v=1758493549,"Validation error: {""detail"":""No objects detected in image for category 'bed'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product.""}"
BED-76887-JESSTEAN-QUEEN-UPHOLSTERED-BED,https://www.alrugaibfurniture.com/cdn/shop/files/jesstean-queen-upholstered-bed-5176523_1800x1800.jpg?v=1758493135,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'pillow'. This image may contain the wrong product type or category. Detection confidence: 0.953""}"
BED-77087-ROUND-OFF-QUEEN-BED-WALNUT,https://www.alrugaibfurniture.com/cdn/shop/products/Untitleddesign-2023-03-21T111036.368_cd2644dc-3924-4840-bf6d-4b209e445e65_1800x1800.png?v=1679386162,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/products/Untitleddesign-2023-03-21T111036.368_cd2644dc-3924-4840-bf6d-4b209e445e65_1800x1800.png?v=1679386162: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/products/Untitleddesign-2023-03-21T111036.368_cd2644dc-3924-4840-bf6d-4b209e445e65_1800x1800.png?v=1679386162'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-77135-CADMORI-FULL-UPHOLSTERED-PANEL,https://www.alrugaibfurniture.com/cdn/shop/files/B2615-57-54-ANGLE-SW_1800x1800.jpg?v=1719133298,"Validation error: {""detail"":""No objects detected in image for category 'bed'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product.""}"
BED-77170-REPOSE-REPOSE-UPHOLSTERED-END-,https://www.alrugaibfurniture.com/cdn/shop/files/repose-repose-upholstered-end-of-bed-bench-7719851_1800x1800.jpg?v=1763877076,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'chaise-lounge'. This image may contain the wrong product type or category. Detection confidence: 0.839""}"
BED-77149-MODERN-PRINCIPLES-RHYTHM-BED-K,https://www.alrugaibfurniture.com/cdn/shop/files/m143-022-121_1800x1800.jpg?v=1686473644,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/files/m143-022-121_1800x1800.jpg?v=1686473644: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/files/m143-022-121_1800x1800.jpg?v=1686473644'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-77130-KING-BED,https://www.alrugaibfurniture.com/cdn/shop/products/B130-582-SW_1800x1800.jpg?v=1659965761,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/products/B130-582-SW_1800x1800.jpg?v=1659965761: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/products/B130-582-SW_1800x1800.jpg?v=1659965761'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-77198-BERMACY-FULL-PLATFORM-PANEL-BE,https://www.alrugaibfurniture.com/cdn/shop/files/bermacy-full-platform-panel-bed-7318057_1800x1800.jpg?v=1758492713,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'console'. This image may contain the wrong product type or category. Detection confidence: 0.391""}"
BED-77237-DENISE-CREAM-BOUCLE-BED-IN-QUE,https://www.alrugaibfurniture.com/cdn/shop/files/TOV-B68690.media.01_1800x1800.jpg?v=1721897645,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'chaise-lounge'. This image may contain the wrong product type or category. Detection confidence: 0.957""}"
BED-77261-ONITA-FULL-PLATFORM-BED-WITH-1,https://www.alrugaibfurniture.com/cdn/shop/files/onita-full-platform-bed-with-1-side-storage-1503597_1800x1800.jpg?v=1758492649,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'pillow'. This image may contain the wrong product type or category. Detection confidence: 0.960""}"
